"STATISTIC","Statistic Label","TLIST(A1)","Year","C03635V04375","Day","C04349V05129","Hourly Consumption","C04540V05324","Electricity Users","UNIT","VALUE"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","240","14:00 < 15:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","872"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","250","15:00 < 16:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","871"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","260","16:00 < 17:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","870"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","270","17:00 < 18:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","863"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","280","18:00 < 19:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","860"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","290","19:00 < 20:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","300","20:00 < 21:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","870"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","310","21:00 < 22:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","867"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","320","22:00 < 23:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","866"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","330","23:00 < 00:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","004","04 January","100","00:00 < 01:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","864"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","004","04 January","110","01:00 < 02:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","859"
