"STATISTIC","Statistic Label","TLIST(A1)","Year","C04064V04826","Semester","C04065V04827","Fuel Sector","C04063V04825","Pricing Bases","C04062V04824","Electricity consumption bands","UNIT","VALUE"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0918"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0844"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.2045"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1642"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1357"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1115"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0968"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0876"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.2321"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1862"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1531"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1234"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.1067"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.097"
"TMEGB04","Non-Residential Electricity Prices","2015","2015","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.1619"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1437"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1198"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.0931"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0826"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0773"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.1936"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1592"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1327"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1018"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0887"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0807"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.2197"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1806"
